S_Yr S_Mon S_Day S_Hr S_Min S_Sec E_Yr E_Mon E_Day E_Hr E_Min E_Sec Type Inst
2011 05 07 18 19 51.0  2011 05 07 18 30  0.0  BSI m 
2011 05 08 06 34 22.0  2011 05 08 06 41 24.0  BSI m 
2011 05 08 18 33 45.0  2011 05 08 18 41 25.0  BSI m 
2011 05 09 06 35 47.0  2011 05 09 06 44 59.0  BSI m 
2011 05 09 18 24  1.0  2011 05 09 18 40 26.0  BSI m 
2011 05 10 06 53 18.0  2011 05 10 06 53 31.0  BSI m 
2011 05 10 19 08  6.0  2011 05 10 19 08  6.0  BSI s 
2011 05 11 07 26 37.0  2011 05 11 07 35 53.0  BSI m 
2011 05 11 19 05 25.0  2011 05 11 19 14  9.0  BSI m 
2011 05 12 07 24 15.0  2011 05 12 07 27  9.0  BSI m 
2011 05 12 18 29 36.0  2011 05 12 19 19 32.0  BSI m 
2011 05 13 06 15 42.0  2011 05 13 06 15 42.0  BSI s 
2011 05 13 17 04  0.0  2011 05 13 17 04  0.0  BSI s 
2011 05 14 07 31  0.0  2011 05 14 07 31  0.0  BSI s 
2011 05 14 17 04 20.0  2011 05 14 17 04 20.0  BSI s 
2011 05 15 04 26 10.0  2011 05 15 04 42 10.0  BSI m 
2011 05 15 18 28 54.0  2011 05 15 18 49  6.0  BSI m 
2011 05 16 05 56 52.0  2011 05 16 06 10 15.0  BSI m 
2011 05 16 19 04 10.0  2011 05 16 19 22 50.0  BSI m 
2011 05 17 06 46 38.0  2011 05 17 06 46 38.0  BSI s 
2011 05 17 18 15 54.0  2011 05 17 18 46  8.0  BSI m 
2011 05 18 04 54 40.0  2011 05 18 06 28  6.0  BSI m 
2011 05 18 17 55 56.0  2011 05 18 18 31 30.0  BSI m 
2011 05 19 06 12 51.0  2011 05 19 06 25 46.0  BSI m 
2011 05 19 18 16 31.0  2011 05 19 18 20  1.0  BSI m 
2011 05 20 04 48 30.0  2011 05 20 05 09  1.0  BSI m 
2011 05 20 17 08 42.0  2011 05 20 18 29 50.0  BSI m 
2011 05 21 05 25  2.0  2011 05 21 06 11 24.0  BSI m 
2011 05 21 17 04 14.0  2011 05 21 18 01  4.0  BSI m 
2011 05 22 05 45 34.0  2011 05 22 06 19 15.0  BSI m 
2011 05 22 17 51 36.0  2011 05 22 18 42 40.0  BSI m 
2011 05 23 05 22 27.0  2011 05 23 05 57 42.0  BSI m 
2011 05 23 17 11 14.0  2011 05 23 17 36 24.0  BSI m 
2011 05 24 05 46 47.0  2011 05 24 06 18 14.0  BSI m 
2011 06 03 06 53 14.0  2011 06 03 08 31 40.0  BSI m 
2011 06 03 18 57 20.0  2011 06 03 20 31  8.0  BSI m 
2011 06 04 07 06 13.0  2011 06 04 07 16 34.0  BSI m 
2011 06 04 19 57  8.0  2011 06 04 19 57  8.0  BSI s 
2011 06 05 08 27 48.0  2011 06 05 08 32 22.0  BSI m 
2011 06 05 19 48 58.0  2011 06 05 20 10  0.0  BSI m 
2011 06 06 06 54 26.0  2011 06 06 08 04 42.0  BSI m 
2011 06 06 20 48 18.0  2011 06 06 21 50 18.0  BSI m 
2011 06 07 09 01 10.0  2011 06 07 09 39 56.0  BSI m 
2011 06 07 21 20 18.0  2011 06 07 22 14 40.0  BSI m 
2011 06 08 10 07 44.0  2011 06 08 10 25 20.0  BSI m 
2011 06 08 21 55 30.0  2011 06 08 22 12  7.0  BSI m 
2011 06 09 10 15 14.0  2011 06 09 10 33 21.0  BSI m 
2011 06 09 22 24 31.0  2011 06 09 22 29 11.0  BSI m 
2011 06 10 10 55 20.0  2011 06 10 11 01 51.0  BSI m 
2011 06 10 22 56 56.0  2011 06 10 23 32 25.0  BSI m 
2011 06 11 10 58 20.0  2011 06 11 11 15 51.0  BSI m 
2011 06 11 23 18 46.0  2011 06 11 23 23 15.0  BSI m 
2011 06 12 11 22 30.0  2011 06 12 11 52 24.0  BSI m 
2011 06 12 23 22 27.0  2011 06 12 23 36 43.0  BSI m 
2011 06 13 12 02 53.0  2011 06 13 12 12 42.0  BSI m 
2011 06 13 17 27 30.0  2011 06 13 23 55 40.0  BSI m 
2011 06 14 12 18 58.0  2011 06 14 12 18 58.0  BSI s 
2011 06 15 00 33 39.0  2011 06 15 00 38 41.0  BSI m 
